collected_at,source_method,sitemap_url,url,url_type,lastmod
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/siphong-vg815-vgsp5,product_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-xit-vg826,product_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/tieu-nam-t1,page_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/tieu-nam-t9,page_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/tieu-nam-tt1,page_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vb3,product_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vb5,product_or_collection,2026-05-14T03:40:39Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-bep-vg707,product_or_collection,2026-05-20T08:12:51Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vg712,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-bep-vg713,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vg7031,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg102-vsd-102,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg104,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg105,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg111,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg112,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg114,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg119,product_or_collection,2026-05-14T03:40:40Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-cao-1-lo-nong-lanh-vg125,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-cao-1-lo-nong-lanh-vg126,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg141,product_or_collection,2026-05-14T08:59:30Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-chan-cao-vg141-1,product_or_collection,2026-05-14T09:00:04Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg142,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-chan-cao-vg142-1,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg143,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg143-1,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-1-lo-nong-lanh-vg168,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-3-lo-nong-lanh-vg315,product_or_collection,2026-05-14T08:42:19Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/vg368,product_or_collection,2026-05-14T08:42:20Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-cam-ung-nong-lanh-dung-pin-vg1023,product_or_collection,2026-05-14T08:42:20Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-cam-ung-nong-lanh-dung-pin-vg1028-1,product_or_collection,2026-05-14T08:56:59Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/voi-chau-3-lo-nong-lanh-vg302-vsd-302,product_or_collection,2026-05-14T08:42:20Z
2026-05-22T19:46:26.737183+00:00,Sitemap recursive extraction,https://viglacera.vn/sitemap_products_1.xml,https://viglacera.vn/bo-xa-tieu-nhan-khong-co-giam-ap-vg845-vghx05,product_or_collection,2026-05-14T03:40:39Z
